A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A172,Bloomer Middle 600 Jackson St Bloomer,B178,Bloomer Middle School 600 Jackson St Bloomer,0.8182041
A2152,Wild Rose Elementary PO Box 119 Wild Rose,B2218,Wild Rose Elementary School 825 Mount Morris Rd Wild Rose,0.81803733
A1431,Oostburg Middle PO Box 700100 Oostburg,B1422,Oostburg Middle School 408 New York Ave Oostburg,0.8178918
A1441,Osceola Intermediate PO Box 128 Osceola,B1431,Osceola Intermediate School 949 Education Ave Osceola,0.81777465
A1352,North High 5000 N Ballard Rd Appleton,B55,Appleton Community 4k 2701 N Oneida St Appleton,0.81766486
A1268,Montello Virtual Charter School 222 Forest Ln Montello,B601,Forest Lane Elementary School 222 Forest Lane Montello,0.8174057
A943,Kettle Moraine Explore 219 N Oak Crest Dr Wales,B964,Km Explore 219 North Oak Crest Drive Wales,0.81683874
A1358,North Lake Elementary PO Box 188 North Lake,B983,La Pointe Elementary School Po Box 190 La Pointe,0.8167856
A858,Insight School of Wisconsin High 4721 Dale-Curtin McFarland,B1830,Southwestern Wisconsin High Sch 1105 Maple St Hazel Green,0.8154634
A965,KM Connect 349 N Oak Crest Dr Wales,B964,Km Explore 219 North Oak Crest Drive Wales,0.81532
A2202,WOLI/Akii'gikinoo'amaading Environmental School 13394 W Trepania Road Hayward,B1366,Northern Waters Environmental Charter School 10256 North Greenwood Lane Hayward,0.8153094
A1443,Osseo-Fairchild Elementary 13025 15th St Osseo,B1435,Osseo-Fairchild Elementary School 13025 15th St Osseo,0.8152563
A2034,Washington Middle 102 S Washington St Oconto Falls,B2121,Washington Middle School 2101 Division St Manitowoc,0.81523114
A973,Korger-Chestnut 140 W Elm St Chippewa Falls,B972,Korger-Chestnut Elem School 140 W Elm St Chippewa Falls,0.81519914
A210,Brown County Institute of Learning 325 N Roosevelt Green Bay,B909,John Dewey Academy Of Learning 701 Cherry Street Green Bay,0.8133893
A1813,Southeastern 4200 N Holton St Milwaukee,B989,Lad Lake Synergy 2820 West Grant Street Milwaukee,0.8129908
A758,Hawthorn Hills Elementary 1600 Kickbusch St Wausau,B1474,Parkside Elementary School 300 S 16th Avenue Wautoma,0.81234425
A2017,Washburn High PO Box 730 Washburn,B2110,Washburn Elementary School 411 West 8th Street Washburn,0.8121668
A1700,Rosendale Intermediate 200 S Main St Rosendale,B986,Laconia Elementary School 200 S Main St Rosendale,0.8118965
A944,Kettle Moraine High 349 N Oak Crest Dr Wales,B944,Kettle Moraine High School 349 N Oak Crest Dr Wales,0.81160235
A1825,Southwestern Wisconsin High PO Box 368 Hazel Green,B1830,Southwestern Wisconsin High Sch 1105 Maple St Hazel Green,0.8112191
A2133,White Lake High PO Box 67 White Lake,B2200,White Lake Elementary School 405 Bissell Street White Lake,0.81108826
A2211,Woodlands School Bluemound Campus Milwaukee,B216,Brown Street Academy 2029 N 20th St Milwaukee,0.81039375
A1195,Melrose-Mindoro Junior/Senior High N181 State Road 108 Melrose,B1196,Mellen K-12 School 420 S Main St Mellen,0.8100199
A163,Black Hawk Middle PO Box 303 South Wayne,B168,Black Hawk Middle School 202 East Center Street South Wayne,0.80989826
A1710,Royall Elementary 1501 Academy St Elroy,B1718,Royal Oaks Elementary School 2215 Pennsylvania Ave Sun Prairie,0.8091736
A2064,Wausau Area Virtual Education PO Box 359 Wausau,B2143,Wausau Area Montessori Charter 3101 North 13th Street Wausau,0.80869365
A2196,Wisconsin Virtual Academy High (WIVA) 4721 Dale-Curtin Dr McFarland,B2253,Wisconsin Dells High School 1505 Brew Farm Rd Wisconsin Dells,0.80823463
A1740,School of Options and Applied Research Middle 6485 Town Hall Rd Land O' Lakes,B1743,School Of Options And Applied Research (Soar Ms) 6485 Town Hall Rd Land O Lakes,0.80801946
A1678,Rocket Academy 321 N 2nd St Cedar Grove,B1690,Rocket Academy 255 Lakeview Dr Belgium,0.80745256
A546,Ellsworth Middle 312 Panther Dr Ellsworth,B538,Ellsworth Middle School 312 W Panther Dr Ellsworth,0.807122
A1246,Milwaukee Sign Language Elementary 7900 W Acacia St Milwaukee,B1243,Milwaukee School Of Language 8400 W Burleigh St Milwaukee,0.8069959
A329,Colby High PO Box 110 Colby,B348,Colby High School 705 North Second St Colby,0.80643094
A1999,Viking Middle 500 Southside Dr Woodville,B2092,Viking Middle School 116 Elder St Woodville,0.8057233
A2079,Webster Elementary PO Box 9 Webster,B2158,Webster Elementary School 7364 Alder St E Webster,0.8056865
A2108,West Side Elementary 512 Grayside Ave Mauston,B2193,Westside Elementary School 1007 W Pine St River Falls,0.80539745
A1895,Suring Elementary PO Box 158 Suring,B1996,Suring Elementary School 411 E Algoma St Suring,0.80508
A136,Belmont High PO Box 348 Belmont,B141,Belmont Middle High 646 East Liberty Street Belmont,0.8048656
A1329,New Richmond Hillside Elementary 701 E 11th St New Richmond,B1330,New Richmond Head Start 421 S Green Ave New Richmond,0.80428743
A1900,Syble Hopp School 755 Scheuring Rd De Pere,B429,De Pere Middle School 700 Swan Road De Pere,0.8042502
A1736,School District of the Menomonie Area 4K 215 Pine Avenue E Menomonie,B1210,Menomonie Middle School 920 21st St. South Menomonie,0.803887
A532,Elcho High PO Box 800 Elcho,B524,Elcho High School N11268 Antigo St Elcho,0.8035052
A327,Cochrane-Fountain City High S2770 State Road 35 Fountain City,B346,Cochran-Fountain City High School S2770 State Road 35 Fountain City,0.80262625
A999,Lake Denoon Middle W216S10586 Crowbar Dr Muskego,B1000,Lake Denoon Middle School W216 S10586 Crowbar Road Muskego,0.80243486
A358,Cornell Middle PO Box 517 Cornell,B387,Cornell Elementary School 111 S Fourth St Cornell,0.8023907
A273,Central City Cyberschool 4301 N 44th St Milwaukee,B1235,Milwaukee College  Preparatory School 2449 N 36th St Milwaukee,0.80230886
A1229,Milwaukee Academy of Chinese Language 2430 W Wisconsin Ave Milwaukee,B1243,Milwaukee School Of Language 8400 W Burleigh St Milwaukee,0.80222523
A653,Galesville-Ettrick-Trempealeau High PO Box 4000 Galesville,B644,Gale-Ettrick-Tremp High School 17511 N Main St Galesville,0.80209744
A2147,Whitnall High 5000 S 116th St Greenfield,B2213,Whitnall High School 5000 S 116th St Greenfield,0.80123717
A283,Central Wisconsin Center 317 Knutson Dr Madison,B2252,Wisconsin Connections Academy 350 W Capitol Dr Appleton,0.8006577
A534,Eleva-Strum Elementary Eleva-Strum Elementary School Strum,B527,Eleva-Strum High School W23597 U.S. Highway 10 Strum,0.8005811
A1275,Mosinee High 1000 High St Mosinee,B1273,Mosinee Elementary School 600 12th St Mosinee,0.80000216
